ELEMEN KOMPETENSI
Mendefinisikan terminologi dan konsep cloud computing
Mendefinisikan karakteriktik cloud computing
Mendefinisikan model pengantaran layanan cloud computing
"Mendefinisikan modelcloud computing deployment"
Mendefinisikan biaya dan manfaat cloud computing
Mendefinisikan SLA (Service Level Agreement) cloud computing
Menguraikan topologi jaringan komputer untuk sistem cloud computing
Mendeskripsikan rancangan skalabilitas virtualisasi sistem cloud
Mendeskripsikan rancangan skalabilitas jaringan sistem cloud
Mendeskripsikan rancangan skalabilitas perangkat keras penyimpanan data
Mendokumentasikan rancangan skalabilitas sistem cloud
Melakukan analisis kebutuhan organisasi terhadap jenis layanan cloud yang akan dibangun
Menentukan jenis layanan cloud yang akan dibangun sesuai kebutuhan organisasi
Membangun virtualisasi sesuai dengan rancangan
Menguji implementasi virtualisasi
Mengaudit kualitas layanan
Menyusun laporan layanan secara periodik
