TIK
"Mahasiswa akan dapat menjelaskan mengenai struktur bahasa java, tipe data yang digunakan dan tata bahasanya"
Mahasiswa mengerti bagaimana membuat program sederhana dengan bahasa java
Mahasiswa akan dapat menjelaskan mengenai penggunaan perintah-perintah untuk alur program
"Mahasiswa akan dapat menjelaskan mengenai class, object dan method"
Mahasiswa mengerti bagaimana membuat program sederhana dengan menggunakan class dan method dalam bahasa java
Mahasiswa akan dapat menjelaskan mengenai Array dan deklarasi array dalam bahasa java
Mahasiswa mengerti bagaimana membuat program sederhana dengan menggunakan  array
Mahasiswa akan dapat menjelaskan mengenai metodologi PBO dalam Java
Mahasiswa mampu mendemonstrasikan penulisan program dengan menggunakan statement penanganan string
Mahasiswa akan dapat menjelaskan mengenai package dan interface dalam java
Mahasiswa mampu menjelaskan penanganan eksepsi dalam java
Mahasiswa mampu mendemonstrasikan penulisan program mengenai penanganan eksepsi
Mahasiswa mampu menjelaskan konsep multithreading dalam bahasa java
Mahasiswa mampu menjelaskan konsep sinkronisasi dalam bahasa java
Mahasiswa mampu menjelaskan kegunaan file stream dalam bahasa java
"Mahasiswa mampu menjelaskan penggunaan method untuk pembuatan program menggunakan komponen AWT, Layout Manager dan Swing"
Mahasiswa mampu membuat animasi dan multimedia
