TIU
Mahasiswa dapat memahami konsep dan fungsi bisnis
Mahasiswa dapat mengetahui perkembangan dan prospek bisnis di bidang teknologi informasi
Mahasiswa dapat mengetahui regulasi dan prosedur pendirian usaha sehubungan dengan pengembangan rencana bisnis di bidang TIK
Mahasiswa dapat mengetahui aspek SDM dan organisasi (struktur organisasi dan tugas) sehubungan dengan pengembangan rencana bisnis di bidang TIK
Mahasiswa dapat mengetahui aspek SDM dan organisasi (sistem penggajian dan proses rekruitmen) sehubungan dengan pengembangan rencana bisnis di bidang TIK
Mahasiswa dapat mengetahui aspek pemasaran (produk) sehubungan dengan pengembangan rencana bisnis di bidang TIK
"Mahasiswa dapat mengetahui aspek pemasaran (pasar, pesaing dan promosi) sehubungan dengan pengembangan rencana bisnis di bidang TIK"
Mahasiswa dapat mengetahui aspek keuangan (biaya) sehubungan dengan pengembangan rencana bisnis di bidang TIK
Mahasiswa dapat mengetahui aspek keuangan (cashflow) sehubungan dengan pengembangan rencana bisnis di bidang TIK
Mahasiswa dapat mengetahui aspek keuangan (pencatatan) sehubungan dengan pengembangan rencana bisnis di bidang TIK
Mahasiswa dapat mengetahui dan memahami pengembangan proposal proyek
Mahasiswa dapat menyusun dan mempresentasikan rencana bisnis
Mahasiswa dapat menyusun dan mempresentasikan rencana bisnis
Mahasiswa dapat menyusun dan mempresentasikan rencana bisnis
