ELEMEN KOMPETENSI
Melakukan survei teknis
Membuat daftar kebutuhan teknis pengguna jaringan
Membuat daftar teknologi dan perangkat jaringan saat ini (existing)
Membuat daftar teknologi yang dapat memperbaiki kinerja jaringan
Menentukan kebutuhan pengguna secara keseluruhan
Membuat spesifikasi topologi jaringan
Mengidentifikasi sistem operasi pada jaringan
Membagi alamat jaringan pada perangkat jaringan
Mendokumentasikan pengalamatan jaringan.
Mendefinisikan risiko keamanan jaringan
Menganalisis risiko keamanan jaringan
Membuat rancangan keamanan jaringan
Mengidentifikasi potensi gangguan terhadap sistem jaringan
Merumuskan strategi pemulihan dan pencegahan
Mengembangkan perencanaan untuk mendukung strategi pencegahan kerusakan
Menetapkan persyaratan perangkat jaringan dari pengguna
Menyiapkan perangkat jaringan
Meng-install perangkat keras jaringan
Menyediakan dukungan untuk produk-produk yang diinstal
"Menentukan spesifikasiswitch"
Memilih switch yang tepat
Memasang switch
Menguji switch pada jaringan
Menyiapkan perangkat jaringan
Mengkonfigurasi router pada perangkat jaringan
Menguji routing pada perangkat jaringan
Mendokumentasikan konfigurasi routing
Mengkonfigurasi router pada stub AS
Mengkonfigurasi router pada multi-home AS
Mengkonfigurasi router pada core AS
Mengidentifikasi dan memodifikasi akun pengguna agar selalu terkendali
Memastikan akses yang aman ke file dan sumber daya
Mengembangkan Service Level Agreement (Perjanjian Tingkat Layanan) atau SLA
Mengidentifikasi jenis serangan
Menghentikan serangan
Melakukan proses pemulihan
Melakukan dokumentasi
Menyiapkan data dukumentasi dari jaringan yang bermasalah
Menganalisis problem dari sisi end point secara logical
Mengidentifikasi problem secara physical
Mendefinisikan masalah
Mengumpulkan fakta
Menganalisis informasi
Memperbaiki kerusakan konfigurasi jaringan
Mendokumentasikan tindakan terhadap perbaikan kerusakan konfigurasi
Mendefinisikan masalah
Mengumpulkan fakta
Menganalisis informasi
Mengganti perangkat jaringan yang rusak
Mendokumentasikan tindakan terhadap penggantian perangkat jaringan yang rusak
Mengidentifikasi kinerja sistem
Menentukan metode untuk memperbaiki kinerja sistem
Mengatur sistem dan memonitor kinerja sistem.
"Mendokumentasikan tindakanmengoptimalkan sistem jaringan"
Mengembangkan prosedur terbaik pemeliharaan jaringan
Mengidentifikasi praktek-praktek pemeliharaan jaringan
Memperbaiki prosedur pemeliharaan jaringan bila diperlukan
Menentukan data penting yang harus di- backup
Melakukan restore konfigurasi perangkat jaringan
Mengembangkan prosedur backup dan restore konfigurasi jaringan
Evaluasi arsitektur jaringan area lokal (local area network - LAN)
Evaluasi arsitektur jaringan area kampus (campus area network - CAN)
