ELEMEN KOMPETENSI
Memilih perangkat keras sesuai spesifikasi yang telah ditetapkan
Memasang perangkat keras
Menentukan jaringan komputer yang dibutuhkan
"Memastikan kesesuaianapplication server"
Memilih database sistem ERP
Menginstal database sistem ERP
Menginstal perangkat lunak ERP server dan ERP client
Mengkonfigurasi perangkat lunak ERP
Melakukan instalasi patch berdasarkan laporan dari vendor ERP
Memeriksa hasil instalasi patch yang telah dilakukan
Menganalisis versi terbaru
Melakukan upgrade versi perangkat lunak ERP
Melakukan upgrade versi sistem pendukung ERP
Menganalisis elemen- elemen yang memiliki performansi yang tidak optimal
"Mengembangkan rencanaimplementasi optimasi performansi sistem"
Memodifikasi sistem untuk meningkatkan performansi sistem
Mengevaluasi ancaman yang ada pada sistem ERP
Melakukan instalasi keamanan sistem ERP
Menyusun prosedur rencana pemulihan dari bencana
Mengaplikasikan prosedur pemulihan dari bencana
