ELEMEN KOMPETENSI
Mengidentifikasi informasi dan hal-hal terkait proses migras
Mengevaluasi pengguna dan proses migrasi
Menyiapkan dokumen rencana migrasi sistem
Menyiapkan data master dan data transaksi dalam format tertentu
"Mengekspor data darilegacy database"
Mengimpor data ke database sistem ERP
Merancang pengujian
Menyiapkan dokumen pengujian dan jadwal pengujian
"Mengidentifikasi kebutuhanperubahan data master"
Melakukan perubahan data master sesuai kebutuhan
Mengevaluasi arsitektur basis data dan aplikasi untuk merencanakan backup dan recovery
Melakukan backup basis data dan aplikasi
