ELEMEN KOMPETENSI
"Menentukan metodologipengembangan perangkat lunak"
"Menerapkan metodologipengembangan perangkat lunak"
Menyesuaikan proyek dengan metodologi pengembangan perangkat lunak
Mengidentifikasi tujuan
"Mengidentifikasidomain knowledge"
"Mengidentifikasi pemangkukepentingan"
"Mengidentifikasibusiness rules"
"Mengidentifikasi lingkunganoperasional"
"Mengidentifikasi lingkunganorganisasi"
Menentukan teknik wawancara (interview)
"Menentukan teknikscenarios"
"Menentukan teknikprototypes"
"Menentukan teknikfacilitated meetings"
Menentukan teknik observasi
"Menentukan teknikuser stories"
Mengklasifikasi kebutuhan perangkat lunak
Membuat conceptual modeling perangkat lunak
Mengalokasikan kebutuhan perangkat lunak
Mengidentifikasi kebutuhan perangkat lunak yang terjadi perbedaan
Membuat kesepakatan kebutuhan perangkat lunak yang terjadi konflik/pertentangan
Menyusun dokumen operasional
Menyusun spesifikasi kebutuhan dokumen sistem
Menyusun spesifikasi kebutuhan software environment
Menyusun dokumen sistem
Mengidentifikasi template/standard spesifikasi kebutuhan perangkat lunak
Menyusun spesifikasi kebutuhan perangkat lunak
Mengidentifikasi indikator/kriteria kebutuhan perangkat lunak
Melaksanakan review terhadap kebutuhan perangkat lunak
"Melakukan validasi spesifikasikebutuhan perangkat lunak"
Meninjau ulang (review) kebutuhan perangkat lunak dengan membuat prototipe
Menyusun user acceptance test case
Mendefinisikan struktur perangkat lunak
Menyusun struktur perangkat lunak
Mendefinisikan User Interface (UI)
Menyusun dokumen rancangan UI
Mendefinisikan User Experience (UX)
Menyusun dokumen rancangan UX
