ELEMEN KOMPETENSI
Menentukan kebutuhan pengguna secara keseluruhan 
Membuat spesifikasi topologi jaringan
Mendefinisikan risiko keamanan jaringan
Menganalisis risiko keamanan jaringan
Membuat rancangan keamanan jaringan
Mengkonfigurasi router pada stub AS 
Mengkonfigurasi router pada multi-home AS 
Mengkonfigurasi router pada core AS 
Mengidentifikasi dan memodifikasi akun pengguna agar selalu terkendali 
Memastikan akses yang aman ke file dan sumber daya 
Mengembangkan Service Level Agreement (Perjanjian Tingkat Layanan) atau SLA 
Mengidentifikasi jenis serangan 
Menghentikan serangan
Melakukan proses pemulihan
Melakukan dokumentasi
Menyiapkan data dukumentasi dari jaringan yang bermasalah 
Menganalisis problem dari sisi end point secara logical 
Mengidentifikasi problem secara physical 
Mendefinisikan masalah 
Mengumpulkan fakta 
Menganalisis informasi 
Memperbaiki kerusakan konfigurasi jaringan 
Mendokumentasikan tindakan terhadap perbaikan kerusakan konfigurasi 
Mengidentifikasi kinerja sistem 
Menentukan metode untuk memperbaiki kinerja sistem 
Mengatur sistem dan memonitor kinerja sistem. 
"Mendokumentasikan tindakanmengoptimalkan sistem jaringan"
Menentukan data penting yang harus di- backup
Melakukan restore konfigurasi perangkat jaringan
Mengembangkan prosedur backup dan restore konfigurasi jaringan
