ELEMEN KOMPETENSI
Mendeskripsikan siklus hidup peralatan dan perangkat 
Mengelola asset peralatan dan perangkat 
Melaksanakan uji siklus hidup peralatan dan perangkat 
Merencanakan proses audit pusat data 
Melaksanakan proses audit pusat data 
Menyusun laporan audit pusat data 
Melakukan tindak lanjut terhadap hasil audit pusat data 
Menguraikan mekanisme cloud computing 
Menguraikan ancaman keamanan dan mekanisme penanggulangannya 
Menguraikan implementasi layanan cloud computing 
Menguraikan perangkat penyimpanan pada sarana dan prasarana cloud computing 
Menguraikan pengujian sistem cloud computing 
Mendefinisikan berbagai tipe tier data center 
Mendefinisikan fasilitas data center yang dibutuhkan 
Menyusun rencana mitigasi bencana 
Melakukan mitigasi bencana 
