TIK
"Mahasiswa mengetahui mengenai sejarah, tata bahasa dan struktur bahasa C++"
"Mahasiswa dapat menjelaskan konsep struktur bahasa, I/O, dan struktur pemrograman dengan C++."
"Mahasiswa mengetahui tibe data, pendeklarasian variabel, operator dan bentuk-bentuk ekspresi penugasan dalam C++"
Mahasiswa dapat menjelaskan format penulisan deklarasi variabel dan ekspresi dalam C++
Mahasiswa mengetahui konsep pendeklarasian function pada C++
Mahasiswa mengetahui konsep function pass by value dan pass by reference
Mahasiswa  dapat menjelaskan konsep polymorphism dalam C++
Mahasiswa mengetahui konsep overloading function  pada C++
Mahasiswa mengetahui konsep penulisan program C++ yang baik
Mahasiswa dapat menjelaskan mengenai konsep file dan stream
Mahasiswa dapat membuat stream dan menjelaskan keterhubungan stream dengan file
Mahasiswa mengetahui perintah I/O
Mahasiswa dapat menjelaskan mengenai konsep alur program dalam C++
Mahasiswa dapat menerangkan struktur kontrol kondisional dan perulangan dengan bahasa C++
"Mahasiswa dapat menjelaskan mengenai konsep alur program, struktur kontrol percabangan dan lompatan dalam bahasa C++"
Mahasiswa  mampu menjelaskan konsep dan mendemonstrasikan penulisan program dengan menggunakan array dan variabel string
Mahasiswa mampu menjelaskan dan mendemonstrasikan penulisan program dengan menggunakan pointer
Mahasiswa mampu menjelaskan dan mendemonstrasikan penulisan program dengan menggunakan variabel static dan dynamic
Mahasiswa mengerti mengenai konsep linked list
Mahasiswa mampu menjelaskan konsep rekursi dan iterasi
Mahasiswa mampu mendemonstrasikan penulisan program dengan menggunakan rekursi function
Mahasiswa mampu menjelaskan konsep PBO
Mahasiswa mampu menuliskan program dengan constructor dan Destructor
Mahasiswa mampu menjelaskan konsep Template dan STL
