TIK
Mengenal aplikasi- aplikasi SIG di lingkungan sekitar mereka
" definisi, sejarah, fungsi dan aplikasi SIG"
"Mengenal aplikasi - aplikasi SIG di bisnis, transportasi, politik, perbankan & keuangan, perpajakan & pertanahan"
"Mengenal aplikasi - aplikasi SIG di lingkungan sekitar mereka jurnalistik & reportase, periklanan, sensus & statistik, pariwi-sata, penentuan lokasi rawan bencana"
Dapat merepresentasikan aplikasi SIG pada bidang-bidang tertentu
"Memahami teknik yang digunakan untuk pengambilan data spasial, khus- susnya dengan penginderaan jauh"
Mampu memodelkan data spasial untuk SIG
Mampu memanajemen basis data spasial dalam SIG
Mampu merancang SIG maupun basis data spasial untuk SIG
Mampu mengim-plementasikan SIG untuk bidang tertentu
Mampu membuat proyek SIG sesuai dengan tahap-tahap perancangan SIG dan menggunakan alat bantu serta mampu mempresentasikan proyek yang telah dibuat
