ELEMEN KOMPETENSI
Mendesain eksternal storage pada aplikasi berbasis mobile 
Mendesain eksternal storage pada aplikasi berbasis mobile 
Mendesain sqlite database pada aplikasi berbasis mobile 
Memilih metode pemodelan arsitektur data dan menetapkan data building block yang diperlukan 
"Mengidentifikasikan perangkat alat bantu dan teknik yang digunakan untuk menangkap, memodelkan dan menganalisis sudut pandang yang dipilih "
Menetapkan baseline arsitektur data yang sudah ada dan sesuai dengan target 
Menyiapkan roadmap arsitektur data 
Mengevaluasi artefak arsitektur dalam architecture landscape yang terkait dengan arsitektur data 
Menentukan standar building block dan metode pemodelan yang dipilih untuk arsitektur data dari architecture repository 
Membuat dokumen arsitektur data 
