TIK
Menjelaskan dan menjalankan Word berikut fungsi-fungsinya
Menjelaskan dan menjalankan langkah-langkah pengetikan teks beserta pengaturannya
"Menjelaskan dan menjalankan penyimpanan dokumen, mencari dokumen, membuat kolom koran, langkah pencetakan dokumen. Penyisipan dan penyuntingan informasi dari luar teks dengan benar"
"Menjelaskan langkah-langkah pembuatan footnote, endnote, header, footer, penomoran halaman, bullets dengan benar"
"Menjelaskan dan menjalankan operasi blok, mencari dan mengganti teks, fungsi matematika, serta menuliskan rumus-rumus matematika yang umum terdapat pada dokumen teknik dengan baik dan benar "
Menjelaskan dan menjalankan langkah-langkah pembuatan tabel standar
"Menjelaskan cara memformat sel dan tabel, menyisipkan baris dan kolom"
Menjelaskan cara menyortir teks dalam paragraf dan dalam tabel
"Menjelaskan dan menjalankan langkah-langkah cetak gabung mulai dari pembuatan file data, dokumen master, hingga pencetakan ke printer dengan benar"
Menjelaskan persamaan dan perbedaan cetak gabung pada wordstar dengan cetak gabung pada word
Memahami dan mengetahui spreadsheet excell
Mengenal dan memehami jendela aplikasi beserta fungsi-fungsinya
Bekerja dengan lembar kerja
Mengatur tampilan-tampilan
Menyimpan dan memutup lembar kerja
Membuat rumus
Menggunakan range dalam sebuah range
Melakukan perhitung matematika
"Menggunakan fungsi logina, tabel, string"
Membuat grafik
Mengetahui kegunaan berbagai jenis grafik
Mencetak lembar kerja 
Membuat database
Melakukan perbaikan database
Membuat macro
Mengedit macro
Menjalankan macro
Menghentikan macro pada saat program berjalan
Mahasiswa dapat menjelaskan istilah-istilah yang sering dipergunakan dalam basis data
Mahasiswa dapat menjelaskan perbedaan antara file manajemen tradisional dan file manajemen basis data 
Mahasiswa dapat menjelaskan keuntungan dan kerugiannya apabila menggunakan file manajemen basis data
Mahasiswa dapat menyebutkan para pengguna basis data
Mahasiswa dapat menjelaskan pengertian dari SQL
Mahasiswa mengetahui pengelompokan dari komponen-komponen SQL
Mahasiswa dapat memanipulasi data dalam suatu database
Mahasiswa dapat mengetahui struktur dari perintah Select
Mahasiswa dapat memanipulasi data dalam suatu database menggunakan operator pembanding dan boolean
"Mahasiswa dapat melakukan pencarian data menggunakan LIKE, % dan _"
Mahasiswa dapat melakukan pencarian data yang tidak berulang
mengerti bahasa pemrograman dBase  IV sebagai Sistem Manajemen Database untuk mikro komputer
mengetahui bagian dari software dBase IV sebagai utility program yang dapat mendu-kung pengolahan database
"mengerti dan memahami struktur file database : field, record, file dan database"
mengetahui jenis data yang digunakan dalam dBase IV
mengetahui batas kemampuan data dalam file dBase IV
"mengetahui operator dBase IV, di mana operator tsb berfungsi untuk melakukan suatu operasi antar 2 item sehingga diperoleh hasil tertentu"
Mengerti akan penyimpanan data ke variabel memori 
Mengetahui perintah apa saja yang dapat dilakukan dengan menggunakan variabel memori
Memahami dengan baik dan benar semua fungsi yang ada dalam dBase IV sehingga dapat mendukung dalam pembuatan program
Memahami dengan baik dan benar cara bekerja dBase IV 
Mengetahui cara pembentukan file database
"Mengetahui pengeditan data, struktur file dan file database"
"Membuat/menuliskan program dengan baik, dapat mengetahui permasalahannya, cara memecahkan masalah dengan melakukan rancangan programnya "
"Membuat daftar perintah atau proses pelak-sanaan program yang dapat dipilih, dikenal sebagai Program Menu"
"Merangkai beberapa program menjadi suatu sistem program, meliputi : pemeliharaan file, pembuatan program tambah, program ubah, program hapus, program lihat dan pembuatan program cetak"
Mempelajari cara pembuatan tabel 
Memahami jenis data yang digunakan dalam Microsoft Access
Melakukan perubahan dalam struktur tabel
Meng-import data dari luar
"Merancang, membuat form sesuai yang diinginkan"
Melakukan pencarian record dalam form
"Memasukkan data, meng-edit data serta melakukan penyortiran"
"Menyisipkan, menghapus gambar dalam suatu form"
"Menyisipkan, menghapus grafik dalam form"
"Membuat, menampilkan dan mencetak data dalam bentuk report"
Melakukan perubahan terhadap tampilan report agar sesuai yang diinginkan
Mencetak label
Merancang select query yang sesuai 
Melakukan filter dengan query
Memahami dan melakukan parameter query
"Melakukan operasi action query : make table, delete, append & update"
"Melakukan operasi aritmatik (count, total)  terhadap field yang berjenis numerik"
memahami konsep dasar SIM
mengenal komponen pembangun SIM
memahami pentingnya mana-jemen informasi dalam perusahaan
memahami peranan SIM dalam konteks fungsi organisasi dan aktifitas manajemen perusahaan
mengenal evolusi dari Sistem Informasi Berbasis Komputer dan mengetahui perkembang-an SIM dalam evolusi tersebut sehingga dapat menjelaskan hubungan SIM dengan disiplin ilmu lain
Memahami komponen dasar pemrosesan komputer dan jenis-jenis perangkat lunak yang digunakan sebagai pendukung SIM
Memahami konsep dari database dan organisasi file yang dibutuhkan dalam membangun SIM
Memiliki pemahaman dasar komunikasi data yang diperlukan untuk bekerjasama antar pegawai terkait pada perusahaan dalam upaya pengembangan komunikasi berbasis komputer
memahami konsep dasar sistem dan sistem informasi sebagai kunci awal pemahaman SIM
mengenal organisasi dan manajemen perusahaan
memahami peranan manusia sebagai pengolah informasi
memahami konsep dari informasi dan mengetahui bagaimana informasi tersebut mengalir
