ELEMEN KOMPETENSI
Menyiapkan data master dan data transaksi dalam format tertentu
"Mengekspor data darilegacy database"
Mengimpor data ke database sistem ERP
"Mengidentifikasi kebutuhanperubahan data master"
Melakukan perubahan data master sesuai kebutuhan
Menganalisis kesalahan pada sistem ERP
Mengimplementasi perbaikan kesalahan sistem ERP
Mengaplikasikan prosedur pemulihan dari bencana
