ELEMEN KOMPETENSI
"Mengumpulkan kebutuhanskalabilitas"
"Menganalisis kebutuhanskalabilitas"
Mempersiapkan perangkat lunak aplikasi data deskripsi/SQL 
Menggunakan fitur aplikasi SQL 
Mengisi tabel 
Melakukan operasi relasional 
Membuat stored procedure 
Membuat function 
Membuat trigger 
Melakukan perintah commit dan rollback 
Membuat berbagai operasi terhadap basis data
Membuat prosedur akses terhadap basis data
Membuat koneksi basis data
Menguji program basis data
Menjelaskan varian dan invarian
Membuat alur logika pemrograman
Menerapkan teknik dasar algoritma umum
Menggunakan prosedur dan fungsi
Mengidentifikasikan kompleksitas algoritma
Melakukan identifikasi kode program
Membuat dokumentasi modul program
"Membuat dokumentasi fungsi, prosedur atau method program"
Men-generate dokumentasi
Mempersiapkan kode program
Melakukan debugging
Memperbaiki program
Mengumpulkan data waktu eksekusi komponen-komponen yang ada pada program
Menentukan bottlenneck performa yang ada pada program
Merancang solusi untuk mengurangi/ menghilangkan bottlenneck
Menetukan kompleksitas algoritma
Mengevaluasi kesesuaian kode dengan spesifikasinya
Memperbaiki kode sesuai dengan coding guidelines dan best practices 
Membuat pengecualian penulisan kode terhadap coding guidelines
Membuat pengecualian penulisan kode terhadap coding guidelines
Mempersiapkan dokumentasi peralatan dan lingkungan pengujian integrasi
Mempersiapkan data uji
Melaksanakan pengujian integrasi
Menganalisis data pengujian integrasi
Melaporkan hasil pengujian integrasi
Melaporkan dokumentasi pengujian
