TIK
Menjelaskan konsep sistem informasi berikut contohnya dan pengertian analis beserta fungsinya.
Menjelaskan karakteristik sistem.
Menjelaskan sistem berdasarkan klasifikasi tertentu.
Menjelaskan siapa saja yang akan terlibat
Menjelaskan konsep analisis sistem
"Menjelaskan cara mengidentifikasi masalah, memahami kerja dari sistem, Menganalisis hasil penelitian dan membuat laporan hasil analisis."
Menjelaskan konsep merancang sistem.
"Menjelaskan tujuan, tahapan merancang secara umum mulai dari ouput, input, proses, database, kontrol jaringan sampai arsitektur komputer."
Menjelaskan tekanan-tekanan dalam merancang.
Menjelaskan konsep DFD serta bagaimana cara menggunakannya.
Menentukan kapan menggunakan secara tepat berdasarkan kelebihan dan kekurangan DFD.
Membuat model sistem yang akan mereka kembangkan dengan DFD.
Menjelaskan konsep dasar flowchart  dan perbedaan dari tiap jenis flowchart yang ada.
Menggunakan masing-masing flowchart sesuai dengan sistem yang sedang mereka kembangkan.
Menjelaskan konsep perancangan sistem terinci dan bagaimana melaksanakan perancangan sistem terinci.
"Melakukan perancangan sistem terinci, mulai dari perancangan output, input, perancangan dialog terminal sampai perancangan file."
"Menjelaskan cara untuk melakukan pengendalian input melalui validasi transaksi, cek data dan modifikasi data transaksi."
Menjelaskan perbedaan dan hubungan yang ada antara DFD dan ERD.
Membuat model sistem yang akan mereka kembangkan dengan ERD dan normalisasi.
Membuat perancangan database menggunakan ERD dan normalisasi.
Menjelaskan konsep dari  pemodelan berorientasi objek.
"Mengenali penggunaan, teknik dan model berorientasi objek serta pedomannya."
Menjelaskan komponen perancangan berorientasi objek.
Mengetahui tujuan penggunaan UML.
Mengetahui sejarah singkat UML.
Mengenal bagian-bagian (diagram-diagram) UML.
Menggunakan UML untuk membuat model sederhana.
Menganalisa dan menyusun pemecahan masalah.
Memilih dan menggunkan Metode/Alat Analisis dan Perancangan Sistem secara benar.
Bekerja secara tim dalam menganalisis dan merancang sebuah sistem.
Mempresentasikan sistem yang dikembangkan.
